segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,speed_85th,pct_over_limit,sss,sss_band,anomaly_score,anomaly_flag,anomaly_reason
TR/11895,MH,trunk,urban,55.0,60.0,58.5,0.6669434426281462,27.439447060601285,Acceptable,51.90014105687774,True,AI flags: high spread between median and 85th pct speed; pct over limit; ss gap
TR/10905,MH,trunk,urban,40.0,60.0,34.166666666666664,0.08123038446449588,29.330685066666668,Acceptable,51.09715330130229,True,AI flags: ss gap; posted limit far above Safe System standard; median speed
PR/3859,MH,primary,urban,40.0,50.0,52.0,0.4999882411043955,28.379485680000002,Acceptable,40.350753106239814,True,AI flags: speed limit; ss gap; posted limit far above Safe System standard
TR/10943,MH,trunk,rural,30.0,90.0,38.5,0.41258291426863275,25.116821333333334,Acceptable,61.81353325478099,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/11103,MH,trunk,rural,55.0,90.0,87.5,0.9259259259259259,43.72793244444445,Moderate,42.950719968985155,True,AI flags: ss limit; ss gap; pct over limit
TR/12560,MH,trunk,rural,55.0,90.0,91.0,0.8762044151725821,43.72793244444445,Moderate,43.54437067001728,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/11274,MH,trunk,rural,30.0,90.0,34.0,0.2863680251851972,25.116821333333334,Acceptable,64.87979421233274,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/11658,MH,trunk,rural,30.0,90.0,91.4,0.0,47.616821333333334,Moderate,87.83139565357678,True,AI flags: large gap between F85 speed and posted limit; ss limit; ss gap
TR/12384,MH,trunk,rural,55.0,90.0,61.0,0.2499617092969827,21.227932444444445,Acceptable,43.90076723723511,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/13100,MH,trunk,rural,40.0,90.0,57.375,0.732982420984259,32.82493765277777,Acceptable,52.375708584393244,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
PR/1321,MH,primary,rural,55.0,60.0,85.5,0.9457177322074789,42.209759999999996,Moderate,38.91084135963534,True,AI flags: pct over limit; large gap between F85 speed and posted limit; median speed significantly above posted limit
TR/12392,MH,trunk,rural,55.0,80.0,46.5,0.07150661648658492,20.159778873894666,Acceptable,40.33604874447481,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
SE/10803,MH,secondary,urban,30.0,50.0,42.333333333333336,0.549437490837978,39.0,Moderate,56.762788356840375,True,AI flags: speed limit; ss gap; posted limit far above Safe System standard
TR/11079,MH,trunk,rural,55.0,90.0,88.33333333333333,0.9364063760536345,43.72793244444445,Moderate,43.89860549190743,True,AI flags: ss limit; ss gap; pct over limit
SE/10804,MH,secondary,urban,30.0,50.0,45.75,0.7387355107700755,53.02759943181818,High Risk,60.46299488498389,True,AI flags: speed limit; ss gap; large gap between F85 speed and posted limit
TR/11089,MH,trunk,rural,55.0,90.0,48.166666666666664,0.041189725101397026,21.227932444444445,Acceptable,46.477184879571624,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
PR/2784,MH,primary,rural,40.0,60.0,51.80769230769231,0.38976714296514703,22.37642666666666,Acceptable,42.777354592860526,True,AI flags: ss gap; posted limit far above Safe System standard; speed limit
TR/13329,MH,trunk,urban,45.0,60.0,49.6,0.2453448961127411,28.1640184,Acceptable,40.16721987284464,True,AI flags: ss gap; posted limit far above Safe System standard; speed limit
SE/10389,MH,secondary,rural,55.0,40.0,72.0,0.7877459621706608,58.57723381818181,High Risk,40.933376922651455,True,AI flags: ss limit; pct over limit; road class inconsistent with observed speeds
PR/988,MH,primary,rural,55.0,60.0,90.66666666666667,0.8628791114908159,42.21179950293197,Moderate,38.84732236896248,True,AI flags: large gap between F85 speed and posted limit; pct over limit; absolute speed excess above limit is high
TR/12166,MH,trunk,rural,50.0,90.0,70.0,0.75,37.968898887936206,Moderate,39.671419644319464,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
TR/12231,MH,trunk,rural,55.0,90.0,89.25,1.0,43.72793244444445,Moderate,47.52876140391685,True,AI flags: ss limit; ss gap; pct over limit
TR/12132,MH,trunk,rural,40.0,90.0,62.6,0.5131927039821776,24.845197595959597,Acceptable,60.10763983706149,True,AI flags: ss limit; ss gap; high spread between median and 85th pct speed
TR/12184,MH,trunk,urban,45.0,60.0,43.0,0.11667018571389227,28.1640184,Acceptable,42.525896048103085,True,AI flags: ss gap; posted limit far above Safe System standard; high spread between median and 85th pct speed
TR/11106,MH,trunk,rural,40.0,90.0,99.66666666666667,0.0,46.06126577777778,Moderate,80.74283381405482,True,AI flags: large gap between F85 speed and posted limit; ss limit; ss gap
PR/3834,MH,primary,rural,40.0,60.0,79.0,0.0,44.879726710767706,Moderate,58.70561059360935,True,AI flags: large gap between F85 speed and posted limit; median speed significantly above posted limit; ss gap
TR/13532,MH,trunk,rural,55.0,90.0,96.0,1.0,43.72793244444445,Moderate,52.02124054486658,True,AI flags: ss limit; large gap between F85 speed and posted limit; ss gap
TR/13279,MH,trunk,rural,55.0,90.0,42.0,0.0,21.227932444444445,Acceptable,48.75873420021718,True,AI flags: ss limit; ss gap; posted limit far above Safe System standard
